"","unowned_mult","HDR","unowned_prop","owned_cov","pSeek_exp","deaths_LL","deaths_Median","deaths_UL","bites_LL","bites_Median","bites_UL","exposures_LL","exposures_Median","exposures_UL","exposure_pct_LL","exposure_pct_Median","exposure_pct_UL","owned_vax_cov","median_deaths"
"89",3,20.5519671168526,0.509,0.4,1,99.975,132,167,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,132
"90",3,20.5519671168526,0.509,0.5,1,48,68,93.025,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,68
"91",4,17.570281124498,0.58,0.4,1,171,213,257,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,213
"92",4,17.570281124498,0.58,0.5,1,95.975,126,160.025,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,126
"93",5,15.3441473038141,0.633,0.4,1,245,298,350,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,298
"94",5,15.3441473038141,0.633,0.5,1,157.975,200,244,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,200
"95",6,13.6186770428016,0.675,0.4,1,325,386,446.025,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,386
"96",6,13.6186770428016,0.675,0.5,1,233.975,282,337,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,282
"97",7,12.242042672263,0.708,0.4,1,408,470,536,5350487.6,5355022,5359444.075,58555.15,65491.5,72305.925,1.09438904222486,1.22299217444858,1.34913106635971,0.4,470
"98",7,12.242042672263,0.708,0.5,1,304.975,367,435,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,367
